form	count	english candidates	example
atrevem	2	whims (0.67), glut (0.40), pretended (0.20), unknown (0.14)	Alma 30:27 — And thus ye lead away this people after the foolish traditions of your fathers, and according to your own desires; and ye keep them down, even as it w
afastamento	2	bountifully (0.25), dissension (0.25), ignorant (0.09), impossible (0.09)	Alma 34:2 — My brethren, I think that it is impossible that ye should be ignorant of the things which have been spoken concerning the coming of Christ, who is tau
influentes	2	prejudice (0.67), excite (0.67), excited (0.50), obscure (0.40)	Alma 35:3 — And it came to pass that after the more popular part of the Zoramites had consulted together concerning the words which had been preached unto them, t
incumbência	2	separately (0.50), phelps (0.25), errand (0.22), gilbert (0.14)	Alma 35:16 — Therefore, he caused that his sons should be gathered together, that he might give unto them every one his charge, separately, concerning the things p
simbolismo	2	director (0.33), type (0.22), vale (0.17), slothful (0.08)	Alma 37:43 — And now, my son, I would that ye should understand that these things are not without a shadow; for as our fathers were slothful to give heed to this c
dissabores	2	reminding (0.67), harshness (0.50), duration (0.50), stirring (0.29)	Alma 38:5 — And now my son, Shiblon, I would that ye should remember, that as much as ye shall put your trust in God even so much ye shall be delivered out of you
imperdoável	2	unpardonable (1.00), murdereth (0.50), lied (0.13), easy (0.13)	Alma 39:6 — For behold, if ye deny the Holy Ghost when it once has had place in you, and ye know that ye deny it, behold, this is a sin which is unpardonable; yea
resíduos	2	grapegatherer (0.67), dregs (0.25), consigned (0.18), glean (0.18)	Alma 40:26 — But behold, an awful death cometh upon the wicked; for they die as to things pertaining to things of righteousness; for they are unclean, and no uncle
ripla	2	riplah (1.00), concealed (0.36), rear (0.14), encircled (0.10)	Alma 43:31 — Therefore, he divided his army and brought a part over into the valley, and concealed them on the east, and on the south of the hill Riplah;
cabeludo	2	moroni's (0.67), scalp (0.57), hilt (0.40), rushed (0.29)	Alma 44:12 — And now when Moroni had said these words, Zerahemnah retained his sword, and he was angry with Moroni, and he rushed forward that he might slay Moroni
aparecimento	2	appearing (0.17), dwindle (0.13), saviour (0.05), looking (0.05)	Alma 45:10 — And these are the words: Behold, I perceive that this very people, the Nephites, according to the spirit of revelation which is in me, in four hundred
regulamentação	2	regulation (1.00), disturbances (0.50), dissensions (0.09), pahoran (0.06)	Alma 45:21 — For behold, because of their wars with the Lamanites and the many little dissensions and disturbances which had been among the people, it became exped
receosos	2	displease (0.25), marching (0.18), retreat (0.14), proclamation (0.06)	Alma 47:2 — And it came to pass that when the proclamation had gone forth among them they were exceedingly afraid; yea, they feared to displease the king, and the
reencaminhados	2	covenanting (0.67), union (0.50), morianton (0.10), restored (0.03)	Alma 50:36 — And thus were the people of Morianton brought back. And upon their covenanting to keep the peace they were restored to the land of Morianton, and a un
formidável	2	wonderfully (0.29), banners (0.25), tirzah (0.11), comely (0.10)	Alma 51:11 — Now his armies were not so great as they had hitherto been, because of the many thousands who had been slain by the hand of the Nephites; but notwiths
furtivamente	2	crept (0.40), overpowered (0.25), fatigue (0.25), stole (0.18)	Alma 51:33 — And it came to pass that when the night had come, Teancum and his servant stole forth and went out by night, and went into the camp of Amalickiah; and
zoramita	2	zoramite (1.00), embassies (0.67), unconquerable (0.50), protected (0.25)	Alma 52:20 — And it came to pass they sent embassies to the army of the Lamanites, which protected the city of Mulek, to their leader, whose name was Jacob, desiri
estupor	2	stupor (1.00), thoughtless (0.50), murdering (0.22), spreading (0.20)	Alma 60:7 — Can you think to sit upon your thrones in a state of thoughtless stupor, while your enemies are spreading the work of death around you? Yea, while the
apoderar	2	daunted (0.67), bellies (0.50), greediness (0.40), flattery (0.29)	Alma 61:4 — And it is those who have sought to take away the judgment– seat from me that have been the cause of this great iniquity; for they have used great flat
queriote	2	kerioth (0.67), bozrah (0.18), shouting (0.14), tumult (0.10)	Amós 2:2 — But I will send a fire upon Moab, and it shall devour the palaces of Kerioth: and Moab shall die with tumult, with shouting, and with the sound of the
evangelistas	2	evangelists (1.00), existed (0.50), primitive (0.50), organization (0.40)	Regras de Fé 1:6 — We believe in the same organization that existed in the Primitive Church, namely, apostles, prophets , pastors , teachers , evangelists , and so forth
coligação	2	american (0.67), paradisiacal (0.67), continent (0.40), personally (0.40)	Regras de Fé 1:10 — We believe in the literal gathering of Israel and in the restoration of the Ten Tribes ; that Zion (the New Jerusalem) will be built upon the American
corroborados	2	joyfulness (0.50), longsuffering (0.10), strengthened (0.08), inner (0.04)	Colossenses 1:11 — Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;
arraigados	2	grounded (0.40), rooted (0.36), stablished (0.33), abounding (0.29)	Colossenses 2:7 — Rooted and built up in him, and stablished in the faith, as ye have been taught, abounding therein with thanksgiving.
onésimo	2	onesimus (1.00), bonds (0.05), beseech (0.03), begotten (0.03)	Colossenses 4:9 — With Onesimus, a faithful and beloved brother, who is one of you. They shall make known unto you all things which are done here.
arquipo	2	archippus (1.00), apphia (0.67), fellowsoldier (0.50), fulfil (0.04)	Colossenses 4:17 — And say to Archippus, Take heed to the ministry which thou hast received in the Lord, that thou fulfil it.
despenseiro	2	melzar (1.00), pulse (0.40), mishael (0.20), eunuchs (0.11)	Daniel 1:11 — Then said Daniel to Melzar, whom the prince of the eunuchs had set over Daniel, Hananiah, Mishael, and Azariah,
doutos	2	realm (0.22), astrologers (0.20), wiser (0.20), magicians (0.13)	Daniel 1:20 — And in all matters of wisdom and understanding, that the king enquired of them, he found them ten times better than all the magicians and astrologers 
prolongação	2	lengthening (0.67), tranquillity (0.67), shewing (0.13), prolonged (0.13)	Daniel 4:27 — Wherefore, O king, let my counsel be acceptable unto thee, and break off thy sins by righteousness, and thine iniquities by shewing mercy to the poor;
tequel	2	tekel (1.00), upharsin (0.67), mene (0.50), wanting (0.22)	Daniel 5:25 — And this is the writing that was written, MENE, MENE, TEKEL, UPHARSIN.
persa	2	persian (1.00), jaddua (0.40), joiada (0.33), recorded (0.15)	Daniel 6:28 — So this Daniel prospered in the reign of Darius, and in the reign of Cyrus the Persian.
ulai	2	ulai (1.00), gabriel (0.29), banks (0.18), shushan (0.10)	Daniel 8:2 — And I saw in a vision; and it came to pass, when I saw, that I was at Shushan in the palace, which is in the province of Elam; and I saw in a vision, 
marradas	2	pushing (0.67), push (0.15), overflow (0.12), westward (0.06)	Daniel 8:4 — I saw the ram pushing westward, and northward, and southward; so that no beasts might stand before him, neither was there any that could deliver out o
hidequel	2	hiddekel (0.80), euphrates (0.08), twentieth (0.05), river (0.02)	Daniel 10:4 — And in the four and twentieth day of the first month, as I was by the side of the great river, which is Hiddekel;
ufaz	2	uphaz (1.00), workman (0.17), founder (0.14), tarshish (0.08)	Daniel 10:5 — Then I lifted up mine eyes, and looked, and behold a certain man clothed in linen, whose loins were girded with fine gold of Uphaz:
idumeia	2	idumaea (0.67), idumea (0.29), tyre (0.05), sidon (0.05)	Doutrina e Convênios 1:36 — And also the Lord shall have power over his saints , and shall reign in their midst , and shall come down in judgment upon Idumea , or the world.
temperante	2	temperate (0.44), admonition (0.25), admonish (0.22), faults (0.20)	Doutrina e Convênios 6:19 — Admonish him in his faults, and also receive admonition of him. Be patient; be sober; be temperate; have patience, faith, hope and charity.
poros	2	pore (1.00), bleed (0.67), fatigue (0.25), shrink (0.22)	Doutrina e Convênios 19:18 — Which suffering caused myself, even God, the greatest of all, to tremble because of pain, and to bleed at every pore, and to suffer both body and spir
sensual	2	sensual (0.40), devilish (0.40), beguile (0.33), subjecting (0.33)	Doutrina e Convênios 20:20 — But by the transgression of these holy laws man became sensual and devilish , and became fallen man.
peterson	2	peterson (1.00), confesseth (0.29), ziba (0.24), advocate (0.22)	Doutrina e Convênios 32:3 — And Ziba Peterson also shall go with them; and I myself will go with them and be in their midst ; and I am their advocate with the Father, and nothing
frivolidade	2	light-mindedness (0.67), lustful (0.50), trifle (0.33), speeches (0.18)	Doutrina e Convênios 32:5 — And they shall give heed unto these words and trifle not, and I will bless them. Amen.
moradias	2	suitable (0.67), circumstances (0.13), necessary (0.06), whithersoever (0.04)	Doutrina e Convênios 48:1 — It is necessary that ye should remain for the present time in your places of abode, as it shall be suitable to your circumstances.
leman	2	leman (1.00), shakers (0.67), parley (0.18), sidney (0.04)	Doutrina e Convênios 49:1 — Hearken unto my word, my servants Sidney, and Parley, and Leman; for behold, verily I say unto you, that I give unto you a commandment that you shall 
wakefield	2	wakefield (1.00), humphrey (0.67), parley (0.18), pratt (0.17)	Doutrina e Convênios 50:37 — Let my servant Joseph Wakefield, in whom I am well pleased, and my servant Parley P. Pratt go forth among the churches and strengthen them by the word
corrill	2	corrill (1.00), wight (0.22), lyman (0.13), hinder (0.09)	Doutrina e Convênios 50:38 — And also my servant John Corrill, or as many of my servants as are ordained unto this office, and let them labor in the vineyard ; and let no man hind
murdock	2	murdock (1.00), detroit (0.67), eastern (0.12), village (0.11)	Doutrina e Convênios 52:8 — And also my servant John Murdock, and my servant Hyrum Smith, take their journey unto the same place by the way of Detroit.
booth	2	morley (0.67), booth (0.67), ezra (0.11), preaching (0.03)	Doutrina e Convênios 52:23 — And again, let my servant Isaac Morley and my servant Ezra Booth take their journey, also preaching the word by the way unto this same land.
thompson	2	thompson (1.00), robert (0.50), griffin (0.40), stiffneckedness (0.33)	Doutrina e Convênios 56:6 — For behold, I revoke the commandment which was given unto my servants Selah J. Griffin and Newel Knight, in consequence of the stiffneckedness of my p
independence	2	independence (1.00), courthouse (0.67), printing (0.18), center (0.14)	Doutrina e Convênios 57:3 — And thus saith the Lord your God, if you will receive wisdom here is wisdom. Behold, the place which is now called Independence is the center place; a
st	2	louis (1.00), craft (0.17), congregations (0.13), mattereth (0.10)	Doutrina e Convênios 60:5 — But, verily, I will speak unto you concerning your journey unto the land from whence you came. Let there be a craft made, or bought, as seemeth you go
louis	2	louis (1.00), craft (0.17), congregations (0.13), mattereth (0.10)	Doutrina e Convênios 60:5 — But, verily, I will speak unto you concerning your journey unto the land from whence you came. Let there be a craft made, or bought, as seemeth you go
cincinnati	2	cincinnati (1.00), arrive (0.17), congregations (0.13), rigdon (0.11)	Doutrina e Convênios 60:6 — And from thence let my servants, Sidney Rigdon, Joseph Smith, Jun., and Oliver Cowdery, take their journey for Cincinnati;
solícita	2	requireth (0.33), immediate (0.22), delivering (0.15), obedient (0.06)	Doutrina e Convênios 64:34 — Behold, the Lord requireth the heart and a willing mind; and the willing and obedient shall eat the good of the land of Zion in these last days.
relatórios	2	accounts (0.67), recommended (0.33), stewardships (0.25), approved (0.15)	Doutrina e Convênios 69:5 — And also, my servants who are abroad in the earth should send forth the accounts of their stewardships to the land of Zion;
profusão	2	manifestations (0.44), grudgingly (0.40), withheld (0.12), temporal (0.05)	Doutrina e Convênios 70:13 — Yea, even more abundantly, which abundance is multiplied unto them through the manifestations of the Spirit.
wilson	2	wilson (1.00), dodds (0.67), grover (0.67), dort (0.67)	Doutrina e Convênios 75:15 — And again, I say unto my servant Asa Dodds, and unto my servant Calves Wilson, that they also shall take their journey unto the western countries, and
seymour	2	seymour (1.00), brunson (1.00), stanton (0.67), grover (0.67)	Doutrina e Convênios 75:33 — And also my servant Daniel Stanton and my servant Seymour Brunson;
brunson	2	seymour (1.00), brunson (1.00), stanton (0.67), grover (0.67)	Doutrina e Convênios 75:33 — And also my servant Daniel Stanton and my servant Seymour Brunson;
stephen	2	burnett (1.00), ruggles (0.67), eames (0.67), stephen (0.36)	Doutrina e Convênios 75:35 — And also my servant Ruggles Eames and my servant Stephen Burnett ;
burnett	2	burnett (1.00), ruggles (0.67), eames (0.67), stephen (0.36)	Doutrina e Convênios 75:35 — And also my servant Ruggles Eames and my servant Stephen Burnett ;
carolina	2	carolina (1.00), eventually (0.67), terminate (0.67), difficulties (0.33)	Doutrina e Convênios 87:1 — Verily, thus saith the Lord concerning the wars that will shortly come to pass, beginning at the rebellion of South Carolina , which will eventually t
inseparavelmente	2	inseparably (1.00), connected (0.67), controlled (0.67), element (0.50)	Doutrina e Convênios 93:33 — For man is spirit . The elements are eternal , and spirit and element, inseparably connected, receive a fulness of joy;
amarraduras	2	bundles (0.29), flax (0.17), unquenchable (0.15), shouted (0.13)	Doutrina e Convênios 101:66 — While the tares shall be bound in bundles, and their bands made strong, that they may be burned with unquenchable fire.
relacionados	2	1838 (0.67), various (0.67), ordinary (0.50), events (0.50)	Doutrina e Convênios 102:28 — This council of high priests abroad is only to be called on the most difficult cases of church matters; and no common or ordinary case is to be suffic
empréstimos	2	loan (0.40), admit (0.33), blesseth (0.20), borrow (0.18)	Doutrina e Convênios 104:53 — Therefore, you are dissolved as a united order with your brethren, that you are not bound only up to this hour unto them, only on this wise, as I said
sacrossantos	2	improving (0.67), fives (0.67), avails (0.50), twenties (0.50)	Doutrina e Convênios 104:65 — And thus shall ye preserve the avails of the sacred things in the treasury, for sacred and holy purposes.
granger	2	granger (1.00), oliver (0.09), sacred (0.05), despise (0.04)	Doutrina e Convênios 117:12 — And again, I say unto you, I remember my servant Oliver Granger ; behold, verily I say unto him that his name shall be had in sacred remembrance from 
colocação	2	placing (0.50), debts (0.20), mock (0.08), powerful (0.08)	Doutrina e Convênios 119:2 — For the building of mine house , and for the laying of the foundation of Zion and for the priesthood, and for the debts of the Presidency of my Church
impuras	2	impure (0.67), puny (0.67), rolling (0.50), unwashen (0.40)	Doutrina e Convênios 121:33 — How long can rolling waters remain impure? What power shall stay the heavens? As well might man stretch forth his puny arm to stop the Missouri river 
caráter	2	damages (0.67), certificates (0.67), signatures (0.67), character (0.50)	Doutrina e Convênios 123:2 — And also of all the property and amount of damages which they have sustained, both of character and personal injuries , as well as real property;
robert	2	robert (1.00), contract (0.67), thompson (0.50), foster (0.50)	Doutrina e Convênios 124:12 — And again, verily I say unto you, let my servant Robert B. Thompson help you to write this proclamation, for I am well pleased with him, and that he s
antiguidades	2	antiquities (1.00), pine (0.22), box (0.18), fir (0.09)	Doutrina e Convênios 124:26 — And send ye swift messengers, yea, chosen messengers, and say unto them: Come ye, with all your gold , and your silver, and your precious stones, and 
batismal	2	baptismal (1.00), font (1.00), consequently (0.50), conforming (0.50)	Doutrina e Convênios 124:29 — For a baptismal font there is not upon the earth, that they, my saints, may be baptized for those who are dead—
haws	2	haws (1.00), miller (0.80), snider (0.80), appropriate (0.50)	Doutrina e Convênios 124:62 — Behold, verily I say unto you, let my servant George Miller, and my servant Lyman Wight, and my servant John Snider, and my servant Peter Haws, organi
vinson	2	vinson (1.00), roundy (0.67), knight (0.40), bishopric (0.25)	Doutrina e Convênios 124:74 — Therefore, I say unto you concerning my servant Vinson Knight, if he will do my will let him put stock into that house for himself, and for his genera
galland	2	galland (1.00), marks (0.25), interest (0.22), point (0.10)	Doutrina e Convênios 124:78 — Let my servant Isaac Galland put stock into that house; for I, the Lord, love him for the work he hath done, and will forgive all his sins; therefore,
sherwood	2	sherwood (1.00), henry (0.80), grover (0.67), dort (0.67)	Doutrina e Convênios 124:81 — Let my servant Henry G. Sherwood pay stock into that house, as seemeth him good, for himself and his seed after him, from generation to generation.
foster	2	foster (1.00), contract (0.67), butterfield (0.67), miles (0.67)	Doutrina e Convênios 124:115 — And again, verily I say unto you, if my servant Robert D. Foster will obey my voice, let him build a house for my servant Joseph, according to the con
heber	2	kimball (0.67), heberites (0.67), malchielites (0.67), page (0.40)	Doutrina e Convênios 124:129 — They are Heber C. Kimball, Parley P. Pratt, Orson Pratt, Orson Hyde, William Smith, John Taylor, John E. Page, Wilford Woodruff, Willard Richards, Geo
charles	2	charles (1.00), grover (0.67), dort (0.67), dunbar (0.67)	Doutrina e Convênios 124:132 — Namely, Samuel Bent, Henry G. Sherwood, George W. Harris, Charles C. Rich, Thomas Grover, Newel Knight, David Dort, Dunbar Wilson—Seymour Brunson I ha
don	2	don (1.00), mack (0.67), november (0.67), 19th (0.67)	Doutrina e Convênios 124:133 — And again, I give unto you Don C. Smith to be a president over a quorum of high priests;
josiah	2	1825 (0.67), butterfield (0.67), miles (0.67), herriman (0.67)	Doutrina e Convênios 124:138 — And again, I give unto you Joseph Young, Josiah Butterfield, Daniel Miles, Henry Herriman, Zera Pulsipher, Levi Hancock, James Foster, to preside over
aperfeiçoamento	2	perfecting (0.80), helps (0.40), governments (0.22), edifying (0.17)	Doutrina e Convênios 124:143 — The above offices I have given unto you, and the keys thereof, for helps and for governments, for the work of the ministry and the perfecting of my sa
formulação	2	coloring (0.67), prosecutions (0.67), pretensions (0.67), blackest (0.67)	Doutrina e Convênios 127:1 — Forasmuch as the Lord has revealed unto me that my enemies, both in Missouri and this State, were again in the pursuit of me; and inasmuch as they pur
sêneca	2	seneca (1.00), fayette (0.80), detecting (0.67), broome (0.67)	Doutrina e Convênios 128:20 — And again, what do we hear? Glad tidings from Cumorah ! Moroni , an angel from heaven, declaring the fulfilment of the prophets—the book to be reveale
harmony	2	susquehanna (0.80), harmony (0.80), 1825 (0.67), detecting (0.67)	Doutrina e Convênios 128:20 — And again, what do we hear? Glad tidings from Cumorah ! Moroni , an angel from heaven, declaring the fulfilment of the prophets—the book to be reveale
lavandeiros	2	refiner's (0.67), fullers' (0.67), soap (0.50), sope (0.50)	Doutrina e Convênios 128:24 — Behold, the great day of the Lord is at hand; and who can abide the day of his coming, and who can stand when he appeareth? For he is like a refiner’s
magistrado	2	magistrate (0.80), amenable (0.67), infringe (0.67), dictate (0.67)	Doutrina e Convênios 134:4 — We believe that religion is instituted of God; and that men are amenable to him, and to him only, for the exercise of it, unless their religious opini
interferência	2	bond-servants (0.67), situations (0.67), jeopardizing (0.67), interference (0.67)	Doutrina e Convênios 134:12 — We believe it just to preach the gospel to the nations of the earth, and warn the righteous to save themselves from the corruption of the world; but w
siriom	2	sirion (1.00), skip (0.67), shenir (0.50), sidonians (0.29)	Deuteronômio 3:9 — (Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)
taberá	2	taberah (1.00), massah (0.33), kibroth-hattaavah (0.29), provoked (0.06)	Deuteronômio 9:22 — And at Taberah, and at Massah, and at Kibroth-hattaavah, ye provoked the LORD to wrath.
gudgodá	2	gudgodah (1.00), jotbath (1.00), journeyed (0.04), rivers (0.03)	Deuteronômio 10:7 — From thence they journeyed unto Gudgodah; and from Gudgodah to Jotbath, a land of rivers of waters.
remóem	2	chew (0.67), hare (0.67), coney (0.67), cloven (0.50)	Deuteronômio 14:7 — Nevertheless these ye shall not eat of them that chew the cud, or of them that divide the cloven hoof; as the camel, and the hare, and the coney: for 
quebrantosso	2	ossifrage (1.00), ospray (1.00), eagle (0.16), fowls (0.03)	Deuteronômio 14:12 — But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,
xofrango	2	ossifrage (1.00), ospray (1.00), eagle (0.16), fowls (0.03)	Deuteronômio 14:12 — But these are they of which ye shall not eat: the eagle, and the ossifrage, and the ospray,
milhano	2	kite (1.00), vulture (1.00), glede (0.67), kind (0.05)	Deuteronômio 14:13 — And the glede, and the kite, and the vulture after his kind,
destruí-las-ás	2	bulwarks (0.29), hivites (0.11), perizzites (0.10), hittites (0.08)	Deuteronômio 20:17 — But thou shalt utterly destroy them; namely, the Hittites, and the Amorites, the Canaanites, and the Perizzites, the Hivites, and the Jebusites; as th
escandalosas	2	occasions (0.80), daughter's (0.40), tokens (0.22), virginity (0.18)	Deuteronômio 22:14 — And give occasions of speech against her, and bring up an evil name upon her, and say, I took this woman, and when I came to her, I found her not a ma
ourela	2	uncovereth (0.40), skirt (0.33), discover (0.07), father's (0.03)	Deuteronômio 22:30 — A man shall not take his father's wife, nor discover his father's skirt.
petor	2	pethor (1.00), beor (0.33), mesopotamia (0.22), balaam (0.07)	Deuteronômio 23:4 — Because they met you not with bread and with water in the way, when ye came forth out of Egypt; and because they hired against thee Balaam the son of 
amassadeira	2	basket (0.17), store (0.10), cursed (0.02), blessed (0.00)	Deuteronômio 28:5 — Blessed shall be thy basket and thy store.
tísica	2	ague (0.67), inflammation (0.50), consumption (0.40), extreme (0.40)	Deuteronômio 28:22 — The LORD shall smite thee with a consumption, and with a fever, and with an inflammation, and with an extreme burning, and with the sword, and with bl
amendoeira	2	almond (1.00), grasshopper (0.40), mourners (0.33), fears (0.20)	Eclesiastes 12:5 — Also when they shall be afraid of that which is high, and fears shall be in the way, and the almond tree shall flourish, and the grasshopper shall be 
pranteadores	2	mourners (0.67), almond (0.50), comforts (0.50), grasshopper (0.40)	Eclesiastes 12:5 — Also when they shall be afraid of that which is high, and fears shall be in the way, and the almond tree shall flourish, and the grasshopper shall be 
co-herdeiros	2	fellowheirs (0.67), joint-heirs (0.67), heirs (0.08), partakers (0.05)	Efésios 3:6 — That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel:
fraudulosamente	2	sleight (0.67), tossed (0.17), deceitfully (0.15), craftiness (0.13)	Efésios 4:14 — That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftines
entenebrecidos	2	dimness (0.33), alienated (0.25), blindness (0.11), ignorance (0.07)	Efésios 4:18 — Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart
infrutíferas	2	spots (0.29), unfruitful (0.20), withereth (0.20), feeding (0.13)	Efésios 5:11 — And have no fellowship with the unfruitful works of darkness, but rather reprove them.
lavagem	2	regeneration (0.50), renewing (0.40), washing (0.27), cleanse (0.05)	Efésios 5:26 — That he might sanctify and cleanse it with the washing of water by the word,
harbona	2	mehuman (0.67), biztha (0.67), harbona (0.67), bigtha (0.67)	Ester 1:10 — On the seventh day, when the heart of the king was merry with wine, he commanded Mehuman, Biztha, Harbona, Bigtha, and Abagtha, Zethar, and Carcas, th
bigtã	2	teresh (1.00), bigthan (0.67), bigthana (0.67), chamberlains (0.36)	Ester 2:21 — In those days, while Mordecai sat in the king's gate, two of the king's chamberlains, Bigthan and Teresh, of those which kept the door, were wroth, an
nisã	2	nisan (1.00), pur (0.40), adar (0.17), beforetime (0.17)	Ester 3:7 — In the first month, that is, the month Nisan, in the twelfth year of king Ahasuerus, they cast Pur, that is, the lot, before Haman from day to day, an
éguas	2	ahasuerus' (0.67), dromedaries (0.40), horseback (0.29), riders (0.29)	Ester 8:10 — And he wrote in the king Ahasuerus' name, and sealed it with the king's ring, and sent letters by posts on horseback, and riders on mules, camels, and
pagague	2	pagag (1.00), constrain (0.50), brothers (0.13), chose (0.11)	Éter 6:25 — And it came to pass that they chose even the firstborn of the brother of Jared; and his name was Pagag. And it came to pass that he refused and would 
curelons	2	elephants (1.00), cureloms (1.00), cumoms (1.00), useful (0.50)	Éter 9:19 — And they also had horses, and asses, and there were elephants and cureloms and cumoms; all of which were useful unto man, and more especially the elep
cumons	2	elephants (1.00), cureloms (1.00), cumoms (1.00), useful (0.50)	Éter 9:19 — And they also had horses, and asses, and there were elephants and cureloms and cumoms; all of which were useful unto man, and more especially the elep
industriosos	2	industrious (0.57), traffic (0.50), buildings (0.11), sell (0.04)	Éter 10:22 — And they were exceedingly industrious, and they did buy and sell and traffic one with another, that they might get gain.
angide	2	amgid (1.00), during (0.25), com (0.14), gained (0.08)	Éter 10:32 — And it came to pass that Com drew away the half of the kingdom. And he reigned over the half of the kingdom forty and two years; and he went to battle
agós	2	agosh (1.00), lib (0.27), quarter (0.12), plains (0.11)	Éter 14:15 — And it came to pass that Lib did pursue him until he came to the plains of Agosh. And Coriantumr had taken all the people with him as he fled before L
comnor	2	shurr (1.00), comnor (1.00), invite (0.67), corihor (0.18)	Éter 14:28 — And they pitched their tents in the valley of Corihor; and Coriantumr pitched his tents in the valley of Shurr. Now the valley of Shurr was near the h
jemuel	2	jemuel (1.00), ohad (1.00), canaanitish (1.00), zohar (0.67)	Êxodo 6:15 — And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these are the families of Simeon
oade	2	jemuel (1.00), ohad (1.00), canaanitish (1.00), zohar (0.67)	Êxodo 6:15 — And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman: these are the families of Simeon
joquebede	2	jochebed (1.00), amram's (0.67), amram (0.27), miriam (0.13)	Êxodo 6:20 — And Amram took him Jochebed his father's sister to wife; and she bare him Aaron and Moses: and the years of the life of Amram were an hundred and thir
elzafã	2	elzaphan (1.00), zithri (0.67), mishael (0.40), uzziel (0.22)	Êxodo 6:22 — And the sons of Uzziel; Mishael, and Elzaphan, and Zithri.
amassadeiras	2	kneadingtroughs (1.00), ovens (0.67), bedchamber (0.25), dough (0.20)	Êxodo 8:3 — And the river shall bring forth frogs abundantly, which shall go up and come into thine house, and into thy bedchamber, and upon thy bed, and into the
miriam	2	triumphed (0.50), gloriously (0.40), timbrel (0.29), timbrels (0.29)	Êxodo 15:20 — And Miriam the prophetess, the sister of Aaron, took a timbrel in her hand; and all the women went out after her with timbrels and with dances.
coentro	2	coriander (1.00), bdellium (0.40), wafers (0.29), manna (0.19)	Êxodo 16:31 — And the house of Israel called the name thereof Manna: and it was like coriander seed, white; and the taste of it was like wafers made with honey.
trespassem	2	gaze (0.67), break (0.02), charge (0.02), lest (0.01)	Êxodo 19:21 — And the LORD said unto Moses, Go down, charge the people, lest they break through unto the LORD to gaze, and many of them perish.
escorneador	2	push (0.31), owner (0.31), wont (0.15), past (0.06)	Êxodo 21:29 — But if the ox were wont to push with his horn in time past, and it hath been testified to his owner, and he hath not kept him in, but that he hath kil
usurário	2	usurer (0.67), lighteneth (0.50), lend (0.12), usury (0.11)	Êxodo 22:25 — If thou lend money to any of my people that is poor by thee, thou shalt not be to him as an usurer, neither shalt thou lay upon him usury.
cobri-la-ás	2	overlay (0.31), thereto (0.09), crown (0.05), pure (0.03)	Êxodo 25:11 — And thou shalt overlay it with pure gold, within and without shalt thou overlay it, and shalt make upon it a crown of gold round about.
tigelas	2	dishes (0.80), covers (0.80), spoons (0.31), bowls (0.17)	Êxodo 25:29 — And thou shalt make the dishes thereof, and spoons thereof, and covers thereof, and bowls thereof, to cover withal: of pure gold shalt thou make them.
texugo	2	silk (0.29), badgers' (0.25), shod (0.22), broidered (0.20)	Êxodo 26:14 — And thou shalt make a covering for the tent of rams' skins dyed red, and a covering above of badgers' skins.
cálamo	2	calamus (0.80), cinnamon (0.67), saffron (0.67), spikenard (0.29)	Êxodo 30:23 — Take thou also unto thee principal spices, of pure myrrh five hundred shekels, and of sweet cinnamon half so much, even two hundred and fifty shekels,
lapidação	2	carving (1.00), cutting (0.50), workmanship (0.08), timber (0.06)	Êxodo 31:5 — And in cutting of stones, to set them, and in carving of timber, to work in all manner of workmanship.
revestimento	2	overlaying (1.00), fillets (0.40), filleted (0.40), chapiters (0.25)	Êxodo 38:17 — And the sockets for the pillars were of brass; the hooks of the pillars and their fillets of silver; and the overlaying of their chapiters of silver; 
jaazanias	2	jaazaniah (0.67), azur (0.50), pelatiah (0.29), censer (0.17)	Ezequiel 8:11 — And there stood before them seventy men of the ancients of the house of Israel, and in the midst of them stood Jaazaniah the son of Shaphan, with ever
lisonjeira	2	flattering (0.21), divination (0.14), ruin (0.13), hateth (0.06)	Ezequiel 12:24 — For there shall be no more any vain vision nor flattering divination within the house of Israel.
heteia	2	lotheth (0.67), lothed (0.40), amorite (0.25), nativity (0.18)	Ezequiel 16:3 — And say, Thus saith the Lord GOD unto Jerusalem; Thy birth and thy nativity is of the land of Canaan; thy father was an Amorite, and thy mother an Hit
pecode	2	pekod (1.00), shoa (0.67), koa (0.67), merathaim (0.67)	Ezequiel 23:23 — The Babylonians, and all the Chaldeans, Pekod, and Shoa, and Koa, and all the Assyrians with them: all of them desirable young men, captains and ruler
beberrões	2	winebibbers (0.67), eaters (0.67), sabeans (0.33), riotous (0.33)	Ezequiel 23:42 — And a voice of a multitude being at ease was with her: and with the men of the common sort were brought Sabeans from the wilderness, which put bracele
