form	count	why	example
ossada	1	bars d=0.06 self	Jó 40:18 — His bones are as strong pieces of brass; his bones are like bars of iron.
betesda	1	bethesda d=1.00 self	João 5:2 — Now there is at Jerusalem by the sheep market a pool, which is called in the Hebrew tongue Bethesda, having five porches.
nafate-dor	1	dor d=0.29 self	Josué 12:23 — The king of Dor in the coast of Dor, one; the king of the nations of Gilgal, one;
arabe	1	arab d=1.00 self	Josué 15:52 — Arab, and Dumah, and Eshean,
esã	1	arab d=1.00 self	Josué 15:52 — Arab, and Dumah, and Eshean,
hemor	1	parcel d=0.29 self	Josué 24:32 — And the bones of Joseph, which the children of Israel brought up out of Egypt, buried they in Shechem, in a parcel of ground which Jacob bought of the
liço	1	pin d=0.67 self	Juízes 16:14 — And she fastened it with the pin, and said unto him, The Philistines be upon thee, Samson. And he awaked out of his sleep, and went away with the pin 
fanuel	1	anna d=1.00 self	Lucas 2:36 — And there was one Anna, a prophetess, the daughter of Phanuel, of the tribe of Aser: she was of a great age, and had lived with an husband seven years
corpórea	1	shape d=0.67 self	Lucas 3:22 — And the Holy Ghost descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am w
recalcada	1	mete d=0.22 self	Lucas 6:38 — Give, and it shall be given unto you; good measure, pressed down, and shaken together, and running over, shall men give into your bosom. For with the 
cavalgadura	1	inn d=0.33 self	Lucas 10:34 — And went to him, and bound up his wounds, pouring in oil and wine, and set him on his own beast, and brought him to an inn, and took care of him.
arruda	1	rue d=1.00 self	Lucas 11:42 — But woe unto you, Pharisees! for ye tithe mint and rue and all manner of herbs, and pass over judgment and the love of God: these ought ye to have don
vendaval	1	poison d=0.12 self	Mosias 7:30 — And again, he saith: If my people shall sow filthiness they shall reap the chaff thereof in the whirlwind; and the effect thereof is poison.
atreveu	1	luster d=0.67 self	Mosias 13:5 — Now it came to pass after Abinadi had spoken these words that the people of king Noah durst not lay their hands on him, for the Spirit of the Lord was
prefiguração	1	shadow d=0.02 self	Mosias 16:14 — Therefore, if ye teach the law of Moses, also teach that it is a shadow of those things which are to come—
elcosita	1	nahum d=1.00 self	Naum 1:1 — The burden of Nineveh. The book of the vision of Nahum the Elkoshite.
gral	1	mills d=1.00 self	Números 11:8 — And the people went about, and gathered it, and ground it in mills, or beat it in a mortar, and baked it in pans, and made cakes of it: and the taste 
ministerial	1	vail d=0.06 self	Números 18:7 — Therefore thou and thy sons with thee shall keep your priest's office for every thing of the altar, and within the vail; and ye shall serve: I have gi
pretoriana	1	bonds d=0.05 self	Filipenses 1:13 — So that my bonds in Christ are manifest in all the palace, and in all other places;
cabresto	1	bit d=0.50 self	Salmos 32:9 — Be ye not as the horse, or as the mule, which have no understanding: whose mouth must be held in with bit and bridle, lest they come near unto thee.
falaz	1	safety d=0.05 self	Salmos 33:17 — An horse is a vain thing for safety: neither shall he deliver any by his great strength.
sobrepassam	1	heavy d=0.04 self	Salmos 38:4 — For mine iniquities are gone over mine head: as an heavy burden they are too heavy for me.
