form	count	gloss	dice	example
desatadas	1	loosing	0.29	Alma 11:41 — Therefore the wicked remain as though there had been no redemption made, except it be the loosing of the bands of death; for behold, the day cometh th
infelicidade	1	middoni	0.13	Alma 20:30 — And, as it happened, it was their lot to have fallen into the hands of a more hardened and a more stiffnecked people; therefore they would not hearken
condoídos	1	swollen	0.25	Alma 24:24 — Now when the Lamanites saw this they did forbear from slaying them; and there were many whose hearts had swollen in them for those of their brethren w
mosaica	1	type	0.25	Alma 25:15 — Yea, and they did keep the law of Moses; for it was expedient that they should keep the law of Moses as yet, for it was not all fulfilled. But notwith
circunspecção	1	soberness	0.20	Alma 42:31 — And now, O my son, ye are called of God to preach the word unto this people. And now, my son, go thy way, declare the word with truth and soberness, t
apoderasse	1	leaving	0.13	Alma 43:25 — Now Moroni, leaving a part of his army in the land of Jershon, lest by any means a part of the Lamanites should come into that land and take possessio
teimosia	1	stubbornness	0.29	Alma 44:17 — And now Moroni was angry, because of the stubbornness of the Lamanites; therefore he commanded his people that they should fall upon them and slay the
infatigavelmente	1	swell	0.22	Alma 48:12 — Yea, a man whose heart did swell with thanksgiving to his God, for the many privileges and blessings which he bestowed upon his people; a man who did 
apetrechos	1	morianton	0.10	Alma 50:33 — Therefore Moroni sent an army, with their camp, to head the people of Morianton, to stop their flight into the land northward.
apoderar-nos	1	defend	0.05	Alma 54:13 — Behold, I am in my anger, and also my people; ye have sought to murder us, and we have only sought to defend ourselves. But behold, if ye seek to dest
atrevemos	1	attack	0.14	Alma 58:2 — And they were so much more numerous than was our army that we durst not go forth and attack them in their strongholds.
recriminação	1	cimeters	0.22	Alma 60:2 — For behold, I have somewhat to say unto them by the way of condemnation; for behold, ye yourselves know that ye have been appointed to gather together
queixaríamos	1	complain	0.22	Alma 60:4 — But behold, were this all we had suffered we would not murmur nor complain.
marchásses	1	except	0.01	Alma 61:20 — But ye have said, except they repent the Lord hath commanded you that ye should go against them.
banqueteadores	1	banquet	0.13	Amós 6:7 — Therefore now shall they go captive with the first that go captive, and the banquet of them that stretched themselves shall be removed.
quebraduras	1	clefts	0.29	Amós 6:11 — For, behold, the LORD commandeth, and he will smite the great house with breaches, and the little house with clefts.
maledicência	1	communication	0.20	Colossenses 3:8 — But now ye also put off all these; anger, wrath, malice, blasphemy, filthy communication out of your mouth.
fulgor	1	firmament	0.07	Daniel 12:3 — And they that be wise shall shine as the brightness of the firmament; and they that turn many to righteousness as the stars for ever and ever.
enfurecê-las	1	publish	0.08	Doutrina e Convênios 10:32 — And, behold, they will publish this, and Satan will harden the hearts of the people to stir them up to anger against you, that they will not believe m
prostar-vos-eis	1	worship	0.01	Doutrina e Convênios 18:40 — And you shall fall down and worship the Father in my name .
invalidados	1	covenants	0.03	Doutrina e Convênios 22:1 — Behold, I say unto you that all old covenants have I caused to be done away in this thing; and this is a new and an everlasting covenant , even that w
vocalmente	1	vocally	0.29	Doutrina e Convênios 23:6 — Behold, I manifest unto you, Joseph Knight, by these words, that you must take up your cross , in the which you must pray vocally before the world as 
escrevente	1	cowdery	0.05	Doutrina e Convênios 25:6 — And thou shalt go with him at the time of his going, and be unto him for a scribe, while there is no one to be a scribe for him, that I may send my se
indoutos	1	thresh	0.29	Doutrina e Convênios 35:13 — Wherefore, I call upon the weak things of the world, those who are unlearned and despised, to thresh the nations by the power of my Spirit ;
tenras	1	leaves	0.11	Doutrina e Convênios 45:37 — Ye look and behold the fig trees , and ye see them with your eyes, and ye say when they begin to shoot forth, and their leaves are yet tender, that su
plebeus	1	low	0.03	Doutrina e Convênios 58:47 — Let them preach by the way, and bear testimony of the truth in all places, and call upon the rich, the high and the low, and the poor to repent.
segui-los-ão	1	mansions	0.14	Doutrina e Convênios 59:2 — For those that live shall inherit the earth, and those that die shall rest from all their labors, and their works shall follow them; and they shall re
servi-lo-ás	1	mind	0.01	Doutrina e Convênios 59:5 — Wherefore, I give unto them a commandment, saying thus: Thou shalt love the Lord thy God with all thy heart , with all thy might, mind, and strength; 
flagelados	1	scourged	0.20	Doutrina e Convênios 63:31 — And if by blood , as you are forbidden to shed blood, lo, your enemies are upon you, and ye shall be scourged from city to city, and from synagogue to
pôr-se-ão	1	liars	0.15	Doutrina e Convênios 64:39 — And liars and hypocrites shall be proved by them, and they who are not apostles and prophets shall be known .
profusamente	1	manifestations	0.25	Doutrina e Convênios 70:13 — Yea, even more abundantly, which abundance is multiplied unto them through the manifestations of the Spirit.
emer	1	emer	0.25	Doutrina e Convênios 75:30 — Wherefore, let my servant Simeon Carter and my servant Emer Harris be united in the ministry;
patridge	1	phelps	0.29	Doutrina e Convênios 82:11 — Therefore, verily I say unto you, that it is expedient for my servants Edward Partridge and Newel K. Whitney, A. Sidney Gilbert and Sidney Rigdon, and
flagelá-las	1	scourge	0.07	Doutrina e Convênios 84:96 — For I, the Almighty , have laid my hands upon the nations, to scourge them for their wickedness .
inamovível	1	immovable	0.29	Doutrina e Convênios 88:133 — Art thou a brother or brethren? I salute you in the name of the Lord Jesus Christ, in token or remembrance of the everlasting covenant, in which coven
radicada	1	kirtland	0.12	Doutrina e Convênios 104:21 — And let all things be done according to the counsel of the order, and united consent or voice of the order, which dwell in the land of Kirtland.
amistosas	1	friendly	0.20	Doutrina e Convênios 121:9 — Thy friends do stand by thee, and they shall hail thee again with warm hearts and friendly hands.
indescritível	1	unspeakable	0.29	Doutrina e Convênios 121:26 — God shall give unto you knowledge by his Holy Spirit , yea, by the unspeakable gift of the Holy Ghost, that has not been revealed since the world was 
penúria	1	poverty	0.08	Doutrina e Convênios 124:30 — For this ordinance belongeth to my house, and cannot be acceptable to me, only in the days of your poverty, wherein ye are not able to build a house u
ásperas	1	speeches	0.20	Doutrina e Convênios 124:116 — And let him repent of all his folly , and clothe himself with charity ; and cease to do evil, and lay aside all his hard speeches ;
cumpri-la-á	1	instituted	0.14	Doutrina e Convênios 132:6 — And as pertaining to the new and everlasting covenant , it was instituted for the fulness of my glory ; and he that receiveth a fulness thereof must a
seixal	1	flint	0.22	Deuteronômio 8:15 — Who led thee through that great and terrible wilderness, wherein were fiery serpents, and scorpions, and drought, where there was no water; who brough
muradas	1	mightier	0.11	Deuteronômio 9:1 — Hear, O Israel: Thou art to pass over Jordan this day, to go in to possess nations greater and mightier than thyself, cities great and fenced up to he
restituí-los-ás	1	astray	0.07	Deuteronômio 22:1 — Thou shalt not see thy brother's ox or his sheep go astray, and hide thyself from them: thou shalt in any case bring them again unto thy brother.
extermínio	1	treasuries	0.20	Ester 4:7 — And Mordecai told him of all that had happened unto him, and of the sum of the money that Haman had promised to pay to the king's treasuries for the J
cutiladas	1	stroke	0.15	Ester 9:5 — Thus the Jews smote all their enemies with the stroke of the sword, and slaughter, and destruction, and did what they would unto those that hated them
dar-se-te-á	1	petition	0.11	Ester 9:12 — And the king said unto Esther the queen, The Jews have slain and destroyed five hundred men in Shushan the palace, and the ten sons of Haman; what hav
dai-ma	1	danced	0.25	Éter 8:11 — And now Omer was a friend to Akish; wherefore, when Jared had sent for Akish, the daughter of Jared danced before him that she pleased him, insomuch t
circunvizinhos	1	revive	0.22	Éter 9:35 — And it came to pass that when they had humbled themselves sufficiently before the Lord he did send rain upon the face of the earth; and the people beg
quebrar-lhe-hás	1	firstling	0.20	Êxodo 13:13 — And every firstling of an ass thou shalt redeem with a lamb; and if thou wilt not redeem it, then thou shalt break his neck: and all the firstborn of 
premeditadamente	1	presumptuously	0.29	Êxodo 21:14 — But if a man come presumptuously upon his neighbour, to slay him with guile; thou shalt take him from mine altar, that he may die.
cobri-las-ás	1	overlay	0.17	Êxodo 25:28 — And thou shalt make the staves of shittim wood, and overlay them with gold, that the table may be borne with them.
candeeiro	1	lamp	0.14	Êxodo 27:20 — And thou shalt command the children of Israel, that they bring thee pure oil olive beaten for the light, to cause the lamp to burn always.
deram-mo	1	calf	0.06	Êxodo 32:24 — And I said unto them, Whosoever hath any gold, let them break it off. So they gave it me: then I cast it into the fire, and there came out this calf.
enumeração	1	ithamar	0.10	Êxodo 38:21 — This is the sum of the tabernacle, even of the tabernacle of testimony, as it was counted, according to the commandment of Moses, for the service of t
feri-la-ás	1	knife	0.29	Ezequiel 5:2 — Thou shalt burn with fire a third part in the midst of the city, when the days of the siege are fulfilled: and thou shalt take a third part, and smite
imundícia	1	satisfy	0.15	Ezequiel 7:19 — They shall cast their silver in the streets, and their gold shall be removed: their silver and their gold shall not be able to deliver them in the day
galgal	1	wheel	0.15	Ezequiel 10:13 — As for the wheels, it was cried unto them in my hearing, O wheel.
multiplicação	1	merchandise	0.09	Ezequiel 28:16 — By the multitude of thy merchandise they have filled the midst of thee with violence, and thou hast sinned: therefore I will cast thee as profane out 
formidáveis	1	swords	0.03	Ezequiel 30:11 — He and his people with him, the terrible of the nations, shall be brought to destroy the land: and they shall draw their swords against Egypt, and fil
regatos	1	plants	0.18	Ezequiel 31:4 — The waters made him great, the deep set him up on high with her rivers running round about his plants, and sent out her little rivers unto all the tre
plantação	1	renown	0.20	Ezequiel 34:29 — And I will raise up for them a plant of renown, and they shall be no more consumed with hunger in the land, neither bear the shame of the heathen any 
constituistes	1	keepers	0.09	Ezequiel 44:8 — And ye have not kept the charge of mine holy things: but ye have set keepers of my charge in my sanctuary for yourselves.
cozinheiros	1	boil	0.12	Ezequiel 46:24 — Then said he unto me, These are the places of them that boil, where the ministers of the house shall boil the sacrifice of the people.
servi-la-ão	1	tribes	0.01	Ezequiel 48:19 — And they that serve the city shall serve it out of all the tribes of Israel.
jesua-joabe	1	pahath-moab	0.29	Esdras 2:6 — The children of Pahath-moab, of the children of Jeshua and Joab, two thousand eight hundred and twelve.
trangressão	1	mingled	0.04	Esdras 9:2 — For they have taken of their daughters for themselves, and for their sons: so that the holy seed have mingled themselves with the people of those land
damasceno	1	childless	0.29	Gênesis 15:2 — And Abram said, Lord GOD, what wilt thou give me, seeing I go childless, and the steward of my house is this Eliezer of Damascus?
servi-los-ão	1	their's	0.11	Gênesis 15:13 — And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not their's, and shall serve them; and they shall afflict
afligi-los-ão	1	their's	0.11	Gênesis 15:13 — And he said unto Abram, Know of a surety that thy seed shall be a stranger in a land that is not their's, and shall serve them; and they shall afflict
fazei-mo	1	kindly	0.15	Gênesis 24:49 — And now if ye will deal kindly and truly with my master, tell me: and if not, tell me; that I may turn to the right hand, or to the left.
levou-lho	1	venison	0.22	Gênesis 27:25 — And he said, Bring it near to me, and I will eat of my son's venison, that my soul may bless thee. And he brought it near to him, and he did eat: and 
trouxe-lha	1	leah	0.07	Gênesis 29:23 — And it came to pass in the evening, that he took Leah his daughter, and brought her to him; and he went in unto her.
ventura	1	leah	0.07	Gênesis 30:13 — And Leah said, Happy am I, for the daughters will call me blessed: and she called his name Asher.
mispá	1	absent	0.14	Gênesis 31:49 — And Mizpah; for he said, The LORD watch between me and thee, when we are absent one from another.
contamos-lhos	1	interpret	0.15	Gênesis 41:12 — And there was there with us a young man, an Hebrew, servant to the captain of the guard; and we told him, and he interpreted to us our dreams; to each
vô-lo	1	required	0.05	Gênesis 42:22 — And Reuben answered them, saying, Spake I not unto you, saying, Do not sin against the child; and ye would not hear? therefore, behold, also his blood
madeiramento	1	beam	0.11	Habacuque 2:11 — For the stone shall cry out of the wall, and the beam out of the timber shall answer it.
prevaricações	1	unrighteousness	0.06	Hebreus 8:12 — For I will be merciful to their unrighteousness, and their sins and their iniquities will I remember no more.
ministrantes	1	worshippers	0.29	Hebreus 10:2 — For then would they not have ceased to be offered? because that the worshippers once purged should have had no more conscience of sins.
transladação	1	translation	0.11	Hebreus 11:5 — By faith Enoch was translated that he should not see death; and was not found, because God had translated him: for before his translation he had this 
sangrento	1	retreat	0.15	Helamã 1:30 — And it came to pass that Moronihah did head them in their retreat, and did give unto them battle, insomuch that it became an exceedingly bloody battle
forjados	1	disguise	0.29	Helamã 2:6 — And it came to pass as he went forth towards the judgment– seat to destroy Helaman, behold  one of the servants of Helaman, having been out by night, 
imediações	1	convincing	0.17	Helamã 5:19 — Therefore they did speak unto the great astonishment of the Lamanites, to the convincing them, insomuch that there were eight thousand of the Lamanite
tenebrosas	1	gadianton	0.07	Helamã 6:29 — Yea, it is that same being who put it into the heart of Gadianton to still carry on the work of darkness, and of secret murder; and he has brought it 
soterrada	1	raised	0.02	Helamã 12:17 — Behold, if he say unto this mountain—Be thou raised up, and come over and fall upon that city, that it be buried up—behold it is done.
infindável	1	consigned	0.20	Helamã 12:26 — Yea, who shall be consigned to a state of endless misery, fulfilling the words which say: They that have done good shall have everlasting life; and th
vesti-lo-eis	1	costly	0.13	Helamã 13:28 — Yea, ye will lift him up, and ye will give unto him of your substance; ye will give unto him of your gold, and of your silver, and ye will clothe him 
operantes	1	condition	0.29	Helamã 14:18 — Yea, and it bringeth to pass the condition of repentance, that whosoever repenteth the same is not hewn down and cast into the fire; but  whosoever re
inquebrantáveis	1	steadfast	0.20	Helamã 15:8 — Therefore, as many as have come to this, ye know of yourselves are firm and steadfast in the faith, and in the thing wherewith they have been made fre
terafim	1	teraphim	0.29	Oseias 3:4 — For the children of Israel shall abide many days without a king, and without a prince, and without a sacrifice, and without an image, and without an e
ilegítimos	1	portions	0.11	Oseias 5:7 — They have dealt treacherously against the LORD: for they have begotten strange children: now shall a month devour them with their portions.
persegui-lo-á	1	pursue	0.04	Oseias 8:3 — Israel hath cast off the thing that is good: the enemy shall pursue him.
sabio	1	transgressors	0.08	Oseias 14:9 — Who is wise, and he shall understand these things? prudent, and he shall know them? for the ways of the LORD are right, and the just shall walk in the
subversão	1	overthrown	0.12	Isaías 1:7 — Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by stra
atreverá	1	behave	0.25	Isaías 3:5 — And the people shall be oppressed, every one by another, and every one by his neighbour: the child shall behave himself proudly against the ancient, a
tropeçante	1	latchet	0.29	Isaías 5:27 — None shall be weary nor stumble among them; none shall slumber nor sleep; neither shall the girdle of their loins be loosed, nor the latchet of their 
reservatório	1	fashioned	0.25	Isaías 22:11 — Ye made also a ditch between the two walls for the water of the old pool: but ye have not looked unto the maker thereof, neither had respect unto him 
vesti-lo-ei	1	clothe	0.07	Isaías 22:21 — And I will clothe him with thy robe, and strengthen him with thy girdle, and I will commit thy government into his hand: and he shall be a father to t
cingi-lo-ei	1	clothe	0.07	Isaías 22:21 — And I will clothe him with thy robe, and strengthen him with thy girdle, and I will commit thy government into his hand: and he shall be a father to t
trespassam	1	transgressed	0.05	Isaías 24:5 — The earth also is defiled under the inhabitants thereof; because they have transgressed the laws, changed the ordinance, broken the everlasting covena
impiedosas	1	glorify	0.06	Isaías 25:3 — Therefore shall the strong people glorify thee, the city of the terrible nations shall fear thee.
siríaco	1	shebna	0.20	Isaías 36:11 — Then said Eliakim and Shebna and Joah unto Rabshakeh, Speak, I pray thee, unto thy servants in the Syrian language; for we understand it: and speak no
capim	1	blasted	0.29	Isaías 37:27 — Therefore their inhabitants were of small power, they were dismayed and confounded: they were as the grass of the field, and as the green herb, as the
vô-las	1	spring	0.06	Isaías 42:9 — Behold, the former things are come to pass, and new things do I declare: before they spring forth I tell you of them.
atiguidade	1	knewest	0.15	Isaías 48:8 — Yea, thou heardest not; yea, thou knewest not; yea, from that time that thine ear was not opened: for I knew that thou wouldest deal very treacherousl
pôr-lhes-ei	1	blackness	0.17	Isaías 50:3 — I clothe the heavens with blackness, and I make sackcloth their covering.
pisaduras	1	chastisement	0.20	Isaías 53:5 — But he was wounded for our transgressions, he was bruised for our iniquities: the chastisement of our peace was upon him; and with his stripes we are 
gulosos	1	greedy	0.29	Isaías 56:11 — Yea, they are greedy dogs which can never have enough, and they are shepherds that cannot understand: they all look to their own way, every one for hi
radiante	1	enlarged	0.11	Isaías 60:5 — Then thou shalt see, and flow together, and thine heart shall fear, and be enlarged; because the abundance of the sea shall be converted unto thee, th
enxertemo-los	1	nethermost	0.29	Jacó 5:52 — Wherefore, let us take of the branches of these which I have planted in the nethermost parts of my vineyard, and let us graft them into the tree from 
sórdida	1	ring	0.18	Tiago 2:2 — For if there come unto your assembly a man with a gold ring, in goodly apparel, and there come in also a poor man in vile raiment;
carpideiras	1	cunning	0.04	Jeremias 9:17 — Thus saith the LORD of hosts, Consider ye, and call for the mourning women, that they may come; and send for cunning women, that they may come:
viandante	1	wayfaring	0.29	Jeremias 14:8 — O the hope of Israel, the saviour thereof in time of trouble, why shouldest thou be as a stranger in the land, and as a wayfaring man that turneth asi
padejá-los-ei	1	bereave	0.29	Jeremias 15:7 — And I will fan them with a fan in the gates of the land; I will bereave them of children, I will destroy my people, since they return not from their w
ludíbrio	1	derision	0.12	Jeremias 20:8 — For since I spake, I cried out, I cried violence and spoil; because the word of the LORD was made a reproach unto me, and a derision, daily.
desabitadas	1	inhabited	0.05	Jeremias 22:6 — For thus saith the LORD unto the king's house of Judah; Thou art Gilead unto me, and the head of Lebanon: yet surely I will make thee a wilderness, an
servi-lo-ão	1	nebuchadnezzar	0.03	Jeremias 28:14 — For thus saith the LORD of hosts, the God of Israel; I have put a yoke of iron upon the neck of all these nations, that they may serve Nebuchadnezzar 
persegui-los-ei	1	hissing	0.22	Jeremias 29:18 — And I will persecute them with the sword, with the famine, and with the pestilence, and will deliver them to be removed to all the kingdoms of the ear
despedi-lo-ás	1	inclined	0.13	Jeremias 34:14 — At the end of seven years let ye go every man his brother an Hebrew, which hath been sold unto thee; and when he hath served thee six years, thou shal
tebas	1	punish	0.05	Jeremias 46:25 — The LORD of hosts, the God of Israel, saith; Behold, I will punish the multitude of No, and Pharaoh, and Egypt, with their gods, and their kings; even
retalharás	1	ashkelon	0.22	Jeremias 47:5 — Baldness is come upon Gaza; Ashkelon is cut off with the remnant of their valley: how long wilt thou cut thyself?
camareiro-mor	1	neriah	0.18	Jeremias 51:59 — The word which Jeremiah the prophet commanded Seraiah the son of Neriah, the son of Maaseiah, when he went with Zedekiah the king of Judah into Babylo
afundada	1	sink	0.22	Jeremias 51:64 — And thou shalt say, Thus shall Babylon sink, and shall not rise from the evil that I will bring upon her: and they shall be weary. Thus far are the wo
gretada	1	clods	0.29	Jó 7:5 — My flesh is clothed with worms and clods of dust; my skin is broken, and become loathsome.
pedregal	1	wrapped	0.13	Jó 8:17 — His roots are wrapped about the heap, and seeth the place of stones.
deprezo	1	despise	0.04	Jó 9:21 — Though I were perfect, yet would I not know my soul: I would despise my life.
veleiros	1	hasteth	0.20	Jó 9:26 — They are passed away as the swift ships: as the eagle that hasteth to the prey.
mostrar-to-ei	1	declare	0.01	Jó 15:17 — I will shew thee, hear me; and that which I have seen I will declare;
orfãozinho	1	breast	0.10	Jó 24:9 — They pluck the fatherless from the breast, and take a pledge of the poor.
ínterim	1	mean	0.05	João 4:31 — In the mean while his disciples prayed him, saying, Master, eat.
nascença	1	birth	0.09	João 9:1 — And as Jesus passed by, he saw a man which was blind from his birth.
disseram-to	1	sayest	0.04	João 18:34 — Jesus answered him, Sayest thou this thing of thyself, or did others tell it thee of me?
entregou-lho	1	crucified	0.04	João 19:16 — Then delivered he him therefore unto them to be crucified. And they took Jesus, and led him away.
geser	1	eglon	0.15	Josué 12:12 — The king of Eglon, one; the king of Gezer, one;
ede	1	reuben	0.03	Josué 22:34 — And the children of Reuben and the children of Gad called the altar Ed: for it shall be a witness between us that the LORD is God.
indescritivelmente	1	description	0.25	Joseph Smith—História 1:32 — Not only was his robe exceedingly white, but his whole person was glorious beyond description, and his countenance truly like lightning . The room was
espoliadores	1	spoilers	0.25	Juízes 2:14 — And the anger of the LORD was hot against Israel, and he delivered them into the hands of spoilers that spoiled them, and he sold them into the hands 
restitui-ma	1	jabbok	0.25	Juízes 11:13 — And the king of the children of Ammon answered unto the messengers of Jephthah, Because Israel took away my land, when they came up out of Egypt, from
tomai-ma	1	timnath	0.29	Juízes 14:2 — And he came up, and told his father and his mother, and said, I have seen a woman in Timnath of the daughters of the Philistines: now therefore get he
ascalonitas	1	ashkelon	0.22	Juízes 14:19 — And the Spirit of the LORD came upon him, and he went down to Ashkelon, and slew thirty men of them, and took their spoil, and gave change of garments
umbreiras	1	midnight	0.14	Juízes 16:3 — And Samson lay till midnight, and arose at midnight, and took the doors of the gate of the city, and the two posts, and went away with them, bar and a
ranchos	1	dances	0.29	Juízes 21:21 — And see, and, behold, if the daughters of Shiloh come out to dance in dances, then come ye out of the vineyards, and catch you every man his wife of t
esvaem	1	pine	0.22	Lamentações 4:9 — They that be slain with the sword are better than they that be slain with hunger: for these pine away, stricken through for want of the fruits of the 
brotante	1	spreading	0.22	Levítico 13:57 — And if it appear still in the garment, either in the warp, or in the woof, or in any thing of skin; it is a spreading plague: thou shalt burn that whe
bagos	1	glean	0.20	Levítico 19:10 — And thou shalt not glean thy vineyard, neither shalt thou gather every grape of thy vineyard; thou shalt leave them for the poor and stranger: I am th
repreeender	1	rebuke	0.04	Levítico 19:17 — Thou shalt not hate thy brother in thine heart: thou shalt in any wise rebuke thy neighbour, and not suffer sin upon him.
restituí-lo-á	1	killeth	0.08	Levítico 24:21 — And he that killeth a beast, he shall restore it: and he that killeth a man, he shall be put to death.
restituir-lha	1	jubile	0.10	Levítico 25:28 — But if he be not able to restore it to him, then that which is sold shall remain in the hand of him that hath bought it until the year of jubile: and 
timões	1	bondmen	0.12	Levítico 26:13 — I am the LORD your God, which brought you forth out of the land of Egypt, that ye should not be their bondmen; and I have broken the bands of your yok
agraciada	1	favoured	0.14	Lucas 1:28 — And the angel came in unto her, and said, Hail, thou that art highly favoured, the Lord is with thee: blessed art thou among women.
pôr-lhe-ás	1	conceive	0.12	Lucas 1:31 — And, behold, thou shalt conceive in thy womb, and bring forth a son, and shalt call his name JESUS.
ausentasse	1	stayed	0.06	Lucas 4:42 — And when it was day, he departed and went into a desert place: and the people sought him, and came unto him, and stayed him, that he should not depart
enxugava-lhos	1	wipe	0.22	Lucas 7:38 — And stood at his feet behind him weeping, and began to wash his feet with tears, and did wipe them with the hairs of her head, and kissed his feet, an
ungia-lhos	1	wipe	0.22	Lucas 7:38 — And stood at his feet behind him weeping, and began to wash his feet with tears, and did wipe them with the hairs of her head, and kissed his feet, an
possesso	1	ware	0.29	Lucas 8:27 — And when he went forth to land, there met him out of the city a certain man, which had devils long time, and ware no clothes, neither abode in any hou
concedeu-lho	1	feeding	0.14	Lucas 8:32 — And there was there an herd of many swine feeding on the mountain: and they besought him that he would suffer them to enter into them. And he suffered
abrir-se-lhe-á	1	knocketh	0.25	Lucas 11:10 — For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.
detento	1	necessity	0.11	Lucas 23:17 — (For of necessity he must release one unto them at the feast.)
tardos	1	slow	0.07	Lucas 24:25 — Then he said unto them, O fools, and slow of heart to believe all that the prophets have spoken:
concílio	1	council	0.02	Marcos 14:55 — And the chief priests and all the council sought for witness against Jesus to put him to death; and found none.
participai-mo	1	bethlehem	0.22	Mateus 2:8 — And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have found him, bring me word again, that I may com
endemoniada	1	grievously	0.22	Mateus 15:22 — And, behold, a woman of Canaan came out of the same coasts, and cried unto him, saying, Have mercy on me, O Lord, thou Son of David; my daughter is gr
cobri-la-á	1	mire	0.12	Miqueias 7:10 — Then she that is mine enemy shall see it, and shame shall cover her which said unto me, Where is the LORD thy God? mine eyes shall behold her: now sha
reedificados	1	decree	0.03	Miqueias 7:11 — In the day that thy walls are to be built, in that day shall the decree be far removed.
derrotamo-los	1	pursue	0.04	Mórmon 2:26 — And it came to pass that when they had fled we did pursue them with our armies, and did meet them again, and did beat them; nevertheless the strength 
ciente	1	preparing	0.07	Mórmon 3:4 — And it came to pass that after this tenth year had passed away, making, in the whole, three hundred and sixty years from the coming of Christ, the kin
apoderassem	1	fortify	0.09	Mórmon 3:6 — And there we did place our armies, that we might stop the armies of the Lamanites, that they might not get possession of any of our lands; therefore w
apoderarem	1	teancum	0.06	Mórmon 4:7 — And it came to pass in the three hundred and sixty and fourth year the Lamanites did come against the city Teancum, that they might take possession of
conferi-lo-eis	1	apostles	0.02	Morôni 2:2 — And he called them by name, saying: Ye shall call on the Father in my name, in mighty prayer; and after ye have done this ye shall have power that to 
rastejantes	1	creeping	0.06	Moisés 2:24 — And I, God, said: Let the earth bring forth the living creature after his kind, cattle, and creeping things, and beasts of the earth after their kind,
rastejante	1	creepeth	0.10	Moisés 2:26 — And I, God, said unto mine Only Begotten , which was with me from the beginning : Let us make man in our image , after our likeness; and it was so. An
impoluta	1	undefiled	0.20	Moisés 6:6 — And by them their children were taught to read and write, having a language which was pure and undefiled.
descontentamento	1	displeasure	0.20	Moisés 7:34 — And the fire of mine indignation is kindled against them; and in my hot displeasure will I send in the floods upon them, for my fierce anger is kindle
trespassá-las	1	creations	0.29	Moisés 7:36 — Wherefore, I can stretch forth mine hands and hold all the creations which I have made; and mine eye can pierce them also, and among all the workmansh
progênie	1	spiritually	0.12	Mosias 5:7 — And now, because of the covenant which ye have made ye shall be called the children of Christ, his sons, and his daughters; for behold, this day he ha
desamarrados	1	questions	0.11	Mosias 7:8 — And it came to pass when they had been in prison two days they were again brought before the king, and their bands were loosed; and they stood before 
amistosos	1	friendly	0.20	Mosias 24:5 — And they were a people friendly one with another; nevertheless they knew not God; neither did the brethren of Amulon teach them anything concerning th
povoações	1	quarters	0.09	Mosias 27:6 — And there began to be much peace again in the land; and the people began to be very numerous, and began to scatter abroad upon the face of the earth, 
restituir-lho-emos	1	require	0.05	Neemias 5:12 — Then said they, We will restore them, and will require nothing of them; so will we do as thou sayest. Then I called the priests, and took an oath of t
oliveiras-bravas	1	myrtle	0.29	Neemias 8:15 — And that they should publish and proclaim in all their cities, and in Jerusalem, saying, Go forth unto the mount, and fetch olive branches, and pine b
repartimentos	1	divisions	0.10	Neemias 11:36 — And of the Levites were divisions in Judah, and in Benjamin.
serabias	1	sherebiah	0.22	Neemias 12:24 — And the chief of the Levites: Hashabiah, Sherebiah, and Jeshua the son of Kadmiel, with their brethren over against them, to praise and to give thanks
asdodita	1	jews'	0.13	Neemias 13:24 — And their children spake half in the speech of Ashdod, and could not speak in the Jews' language, but according to the language of each people.
maeli	1	mushi	0.22	Números 3:20 — And the sons of Merari by their families; Mahli, and Mushi. These are the families of the Levites according to the house of their fathers.
superintendência	1	oversight	0.17	Números 3:32 — And Eleazar the son of Aaron the priest shall be chief over the chief of the Levites, and have the oversight of them that keep the charge of the sanct
pôr-lhe-ão	1	badgers'	0.13	Números 4:6 — And shall put thereon the covering of badgers' skins, and shall spread over it a cloth wholly of blue, and shall put in the staves thereof.
amaldiçoantes	1	lain	0.29	Números 5:19 — And the priest shall charge her by an oath, and say unto the woman, If no man have lain with thee, and if thou hast not gone aside to uncleanness with
proíbe-lho	1	nun	0.07	Números 11:28 — And Joshua the son of Nun, the servant of Moses, one of his young men, answered and said, My lord Moses, forbid them.
contar-se-vos-á	1	winepress	0.13	Números 18:27 — And this your heave offering shall be reckoned unto you, as though it were the corn of the threshingfloor, and as the fulness of the winepress.
zin	1	zin	0.20	Números 20:1 — Then came the children of Israel, even the whole congregation, into the desert of Zin in the first month: and the people abode in Kadesh; and Miriam d
vaebe	1	brooks	0.13	Números 21:14 — Wherefore it is said in the book of the wars of the LORD, What he did in the Red sea, and in the brooks of Arnon,
sufá	1	brooks	0.13	Números 21:14 — Wherefore it is said in the book of the wars of the LORD, What he did in the Red sea, and in the brooks of Arnon,
amaldiçoa-mo	1	utmost	0.14	Números 23:13 — And Balak said unto him, Come, I pray thee, with me unto another place, from whence thou mayest see them: thou shalt see but the utmost part of them, 
esquadrinhadas	1	searched	0.07	Obadias 1:6 — How are the things of Esau searched out! how are his hidden things sought up!
